球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
D.C.-威尔卡特,2,0,42.90%,3,7,0.00%,0,0,0.00%,0,0,0,4,0,0,0,2,6
Lonnie0Walker0IV,6,21,37.50%,3,8,0.00%,0,1,0.00%,0,0,2,3,0,0,0,0,6
亚休巴-迪亚瓦拉,9,30,37.50%,3,8,0.00%,0,3,0.00%,0,2,6,0,1,0,0,2,6
佩普-赛,4,11,66.70%,2,3,0.00%,0,0,50.00%,2,4,1,3,1,0,1,1,6
保罗-朗,1,4,100.00%,3,3,0.00%,0,0,0.00%,0,0,0,1,0,0,0,1,6
保罗-格拉汉姆,3,29,30.00%,3,10,0.00%,0,3,0.00%,0,0,3,2,4,0,2,2,6
克拉伦斯-格洛弗,3,10,33.30%,2,6,0.00%,0,0,100.00%,2,2,3,0,0,0,0,1,6
凯西-雅克布森,6,39,20.00%,2,10,40.00%,2,5,0.00%,0,2,3,2,3,0,1,4,6
加里-布拉德斯,1,5,66.70%,2,3,0.00%,0,0,100.00%,2,2,2,0,0,0,0,0,6
卢克-杰克逊,3,11,0.00%,0,0,0.00%,0,0,100.00%,6,6,5,1,1,0,1,3,6
埃文-埃施迈耶,8,40,42.90%,3,7,0.00%,0,0,0.00%,0,0,7,3,3,2,0,10,6
尼尔森-鲍勃,6,0,33.30%,2,6,0.00%,0,0,40.00%,2,5,0,4,0,0,0,9,6
布兰登-阿姆斯特朗,8,32,25.00%,3,12,0.00%,0,1,0.00%,0,0,2,3,1,0,0,4,6
布莱恩-奥利弗,4,15,33.30%,2,6,0.00%,0,0,100.00%,2,2,0,1,1,0,0,4,6
拉尔斐-奥格登,2,15,20.00%,1,5,0.00%,0,0,100.00%,4,4,4,1,0,0,0,0,6
拉沙德-沃恩,3,11,50.00%,2,4,100.00%,2,2,0.00%,0,0,0,0,0,0,0,0,6
拉玛尔-帕特森,4,20,28.60%,2,7,33.30%,1,3,100.00%,1,1,5,3,1,0,4,1,6
斯图阿特-格雷,7,26,33.30%,2,6,0.00%,0,0,50.00%,2,4,15,0,1,0,3,6,6
杰梅因-杰克逊,6,16,40.00%,2,5,0.00%,0,0,33.30%,2,6,1,2,0,0,3,3,6
查理-保尔克,7,13,30.00%,3,10,0.00%,0,0,0.00%,0,0,5,0,0,0,0,5,6
格雷格-格里芬,2,25,42.90%,3,7,0.00%,0,0,0.00%,0,0,4,3,1,1,2,5,6
欧文-威尔斯,4,5,60.00%,3,5,0.00%,0,0,0.00%,0,0,1,1,0,0,0,1,6
比尔-戴维斯,7,0,14.30%,2,14,0.00%,0,0,40.00%,2,5,0,0,0,0,0,10,6
沃克-拉塞尔,7,10,40.00%,2,5,0.00%,0,0,100.00%,2,2,0,1,1,0,1,1,6
米尔特-瓦格纳,5,14,40.00%,2,5,0.00%,0,1,100.00%,2,2,2,3,0,1,0,3,6
约什-胡斯蒂斯,6,30,40.00%,2,5,50.00%,1,2,50.00%,1,2,6,0,1,1,0,4,6
约翰-琼斯,5,10,50.00%,3,6,0.00%,0,0,0.00%,0,0,4,0,0,0,0,2,6
约翰尼-奥布莱恩特三世,1,12,37.50%,3,8,0.00%,0,0,0.00%,0,0,3,0,0,0,0,1,6
罗德里克-罗德斯,3,7,66.70%,2,3,0.00%,0,0,50.00%,2,4,1,0,1,0,1,0,6
肖恩-黑尔,2,3,100.00%,2,2,100.00%,2,2,0.00%,0,0,0,1,0,0,0,0,6
肯尼-佩恩,3,10,40.00%,2,5,0.00%,0,2,100.00%,2,2,2,0,0,0,1,3,6
肯纳德-温彻斯特,3,11,60.00%,3,5,0.00%,0,0,0.00%,0,1,0,2,0,0,1,0,6
艾尔-古奥卡斯,2,0,50.00%,2,4,0.00%,0,0,33.30%,2,6,0,5,0,0,0,3,6
莱恩-科斯马尔斯基,6,29,66.70%,2,3,0.00%,0,0,66.70%,2,3,10,5,1,0,0,4,6
菲尔-沃克,4,17,12.50%,1,8,0.00%,0,0,80.00%,4,5,2,2,0,0,3,5,6
赫姆-克洛泽,6,0,22.20%,2,9,0.00%,0,0,66.70%,2,3,0,1,0,0,0,3,6
达夫-瓦欧,4,8,100.00%,3,3,0.00%,0,0,0.00%,0,0,1,2,1,0,0,2,6
达夫-霍鹏,3,9,100.00%,3,3,0.00%,0,0,0.00%,0,2,3,0,0,0,0,1,6
阿特-斯派克特,3,0,22.20%,2,9,0.00%,0,0,50.00%,2,4,0,0,0,0,0,9,6
韦德-鲍德温,7,31,20.00%,1,5,100.00%,1,1,75.00%,3,4,7,5,1,1,3,4,6
马克尔-布朗,2,11,40.00%,2,5,0.00%,0,2,100.00%,2,2,2,1,0,0,2,0,6
马蒂-贝尔纳斯,4,8,33.30%,1,3,0.00%,0,0,66.70%,4,6,1,1,0,0,1,0,6
鲍伯-考夫曼,5,24,33.30%,2,6,0.00%,0,0,40.00%,2,5,7,6,0,0,0,5,6
鲍伯-麦凯恩,1,13,50.00%,3,6,0.00%,0,0,0.00%,0,0,2,0,0,1,2,2,6
Jack0Turner_,2,16,33.30%,2,6,0.00%,0,0,33.30%,1,3,4,2,0,0,0,1,5
P.J.海尔斯顿,2,22,33.30%,2,6,33.30%,1,3,0.00%,0,2,0,0,1,0,1,1,5
RJ-亨特,5,42,22.20%,2,9,20.00%,1,5,0.00%,0,0,6,3,0,1,1,3,5
Terrel0Harris,4,10,50.00%,1,2,0.00%,0,1,75.00%,3,4,3,0,0,0,0,0,5
丹泽尔-瓦伦蒂内,4,23,33.30%,2,6,25.00%,1,4,0.00%,0,0,8,2,0,1,2,1,5
伯尼-斯温,5,27,33.30%,2,6,0.00%,0,0,50.00%,1,2,14,1,0,0,0,4,5
克莱德-梅耶斯,3,41,20.00%,1,5,0.00%,0,0,75.00%,3,4,6,1,1,1,0,6,5
凯文-奥谢,5,0,14.30%,1,7,0.00%,0,0,75.00%,3,4,5,1,0,0,0,8,5
凯文-布鲁克斯,2,5,28.60%,2,7,0.00%,0,1,50.00%,1,2,2,0,0,0,0,0,5
加里-维特斯,4,28,100.00%,2,2,0.00%,0,0,50.00%,1,2,3,2,1,0,0,6,5
唐-洛夫格兰,3,0,22.20%,2,9,0.00%,0,0,100.00%,1,1,1,0,0,0,0,6,5
埃迪-休斯,7,16,28.60%,2,7,33.30%,1,3,0.00%,0,0,0,1,1,0,1,1,5
塞西尔-汉金斯,2,0,28.60%,2,7,0.00%,0,0,50.00%,1,2,0,0,0,0,0,1,5
布雷克-阿赫恩,3,18,66.70%,2,3,100.00%,1,1,0.00%,0,0,0,2,0,0,0,0,5
德里克-蒂亚尔,2,8,50.00%,2,4,0.00%,0,0,50.00%,1,2,2,0,0,0,0,1,5
托尼-罗波特森,2,12,33.30%,2,6,0.00%,0,0,50.00%,1,2,0,0,0,0,0,3,5
杰伊尔-萨瑟,6,25,28.60%,2,7,25.00%,1,4,0.00%,0,0,5,1,1,1,1,1,5
杰夫-维希,3,21,50.00%,2,4,0.00%,0,0,50.00%,1,2,4,1,1,1,0,5,5
查尔斯-史密斯,4,19,66.70%,2,3,0.00%,0,0,50.00%,1,2,3,2,2,1,3,5,5
格莱恩-莫斯利,3,6,66.70%,2,3,0.00%,0,0,33.30%,1,3,1,1,0,1,0,0,5
梅尔文-弗雷泽,3,15,40.00%,2,5,0.00%,0,0,50.00%,1,2,4,0,1,0,0,0,5
比利-托马斯,8,24,10.00%,1,10,16.70%,1,6,50.00%,2,4,2,1,1,0,0,3,5
沃尔特-科克,3,0,28.60%,2,7,0.00%,0,0,16.70%,1,6,0,1,0,0,0,8,5
泰伦斯-威廉姆斯,5,49,20.00%,2,10,0.00%,0,3,50.00%,1,2,10,6,0,1,4,3,5
泰勒-恩尼斯,1,16,22.20%,2,9,20.00%,1,5,0.00%,0,0,4,3,0,0,0,1,5
泰瑞斯-威廉姆斯,4,18,33.30%,1,3,0.00%,0,0,75.00%,3,4,5,0,1,1,0,3,5
肖奈勒-斯科特,8,16,33.30%,2,6,0.00%,0,2,100.00%,1,1,2,0,0,1,4,2,5
莱维-方丹,2,9,66.70%,2,3,0.00%,0,0,33.30%,1,3,0,0,0,0,0,2,5
萨马基-克里斯顿,2,21,40.00%,2,5,33.30%,1,3,0.00%,0,0,3,5,1,0,0,1,5
贾巴里-史密斯,7,14,50.00%,1,2,0.00%,0,0,75.00%,3,4,3,0,0,1,0,4,5
辛达里厄斯-桑韦尔,4,12,33.30%,2,6,33.30%,1,3,0.00%,0,0,4,0,1,0,0,2,5
里昂-本鲍,2,5,50.00%,2,4,0.00%,0,0,50.00%,1,2,1,2,0,0,0,0,5
阿马尔-麦卡斯基尔,2,7,66.70%,2,3,0.00%,0,0,33.30%,1,3,3,1,0,0,0,1,5
阿龙-杰克逊,7,17,50.00%,2,4,0.00%,0,2,50.00%,1,2,4,2,0,0,2,2,5
阿龙-霍勒迪,3,14,40.00%,2,5,50.00%,1,2,0.00%,0,0,0,0,0,0,1,3,5
雅各布·埃文斯,2,9,100.00%,2,2,100.00%,1,1,0.00%,0,0,0,0,0,0,1,1,5
马克尔-富尔茨,3,23,14.30%,1,7,0.00%,0,0,75.00%,3,4,3,5,2,0,1,4,5
马尔-格拉汉姆,7,25,28.60%,2,7,0.00%,0,0,33.30%,1,3,4,2,0,0,0,3,5
马蒂-帕萨格里亚,6,0,14.30%,2,14,0.00%,0,0,33.30%,1,3,0,0,0,0,0,10,5
鲍伯-罗楚穆勒,2,21,20.00%,2,10,0.00%,0,0,25.00%,1,4,5,2,0,0,0,12,5
鲍伯-菲茨杰拉德,6,0,10.00%,1,10,0.00%,0,0,75.00%,3,4,0,1,0,0,0,4,5
Charles0O'Bannon,4,9,66.70%,2,3,0.00%,0,0,0.00%,0,0,1,1,0,0,3,0,4
Earnie0Killum,2,4,100.00%,1,1,0.00%,0,0,66.70%,2,3,0,0,0,0,0,1,4
Hooks0Dillon,1,0,100.00%,1,1,0.00%,0,0,100.00%,2,2,0,0,0,0,0,2,4
John0Warren,10,22,40.00%,2,5,0.00%,0,0,0.00%,0,0,3,2,0,0,0,6,4
Lazar0Hayward,5,15,66.70%,2,3,0.00%,0,0,0.00%,0,0,4,0,0,0,1,2,4
Matt0Guokas_,8,0,11.10%,1,9,0.00%,0,0,40.00%,2,5,0,0,0,0,0,11,4
扎南-穆萨,2,15,66.70%,2,3,0.00%,0,1,0.00%,0,0,0,0,2,0,3,4,4
托尼-拉维利,2,0,20.00%,1,5,0.00%,0,0,100.00%,2,2,1,1,0,0,0,2,4
托比-贝莉,5,15,25.00%,1,4,0.00%,0,0,50.00%,2,4,2,2,0,0,0,1,4
拉尔斐-刘易斯,10,17,33.30%,2,6,0.00%,0,1,0.00%,0,0,8,1,0,0,0,2,4
拉纳德-科普兰,4,9,33.30%,2,6,0.00%,0,0,0.00%,0,0,1,0,0,0,1,1,4
斯托贾科-弗兰科维奇,3,13,50.00%,2,4,0.00%,0,0,0.00%,0,1,3,1,0,0,1,2,4
斯科特-蒙茨,2,8,50.00%,2,4,0.00%,0,0,0.00%,0,1,1,0,1,0,0,1,4
朱利安-斯通,4,17,50.00%,1,2,0.00%,0,0,100.00%,2,2,1,3,0,0,0,3,4
杰拉尼-麦考伊,3,26,40.00%,2,5,0.00%,0,0,0.00%,0,3,6,2,0,0,2,6,4
杰拉德-金,8,14,50.00%,2,4,0.00%,0,0,0.00%,0,0,4,1,0,1,1,2,4
杰纳-詹姆斯,4,0,11.10%,1,9,0.00%,0,0,50.00%,2,4,0,2,0,0,0,6,4
林顿-约翰逊三世,3,10,50.00%,1,2,0.00%,0,0,100.00%,2,2,4,1,0,0,0,1,4
查尔斯-布拉德利,9,22,25.00%,2,8,0.00%,0,0,0.00%,0,2,5,1,1,0,4,6,4
汤姆-佩恩,1,5,100.00%,1,1,0.00%,0,0,40.00%,2,5,4,0,0,0,0,1,4
汤姆-胡佛,4,11,66.70%,2,3,0.00%,0,0,0.00%,0,0,3,1,0,0,0,3,4
泰伦斯-金希,9,11,33.30%,1,3,0.00%,0,0,100.00%,2,2,2,0,1,0,1,2,4
泰尔斯-琼斯,4,54,28.60%,2,7,0.00%,0,2,0.00%,0,0,9,8,1,0,1,0,4
泰瑞斯-梅斯,1,20,50.00%,2,4,0.00%,0,1,0.00%,0,0,1,0,0,0,1,3,4
瓦斯里斯-斯潘诺里斯,1,3,50.00%,1,2,0.00%,0,0,100.00%,2,2,1,1,0,0,0,0,4
皮特-威廉姆斯,4,18,50.00%,2,4,0.00%,0,1,0.00%,0,0,4,3,0,0,0,2,4
雷纳尔多-巴尔克曼,8,20,33.30%,2,6,0.00%,0,1,0.00%,0,0,4,1,4,0,0,3,4
马特-卡罗尔,5,19,66.70%,2,3,0.00%,0,0,0.00%,0,0,3,0,0,0,1,1,4
马科-米利奇,2,4,66.70%,2,3,0.00%,0,0,0.00%,0,0,1,0,1,0,0,1,4
鲍伯-奎克,2,9,66.70%,2,3,0.00%,0,0,0.00%,0,2,1,0,0,0,0,1,4
鲍伯-阿伦,3,19,0.00%,0,4,0.00%,0,0,57.10%,4,7,6,0,0,0,0,2,4
James0Ray,4,20,16.70%,1,6,0.00%,0,0,25.00%,1,4,3,0,0,2,0,4,3
Mike0Harris,3,9,50.00%,1,2,0.00%,0,0,50.00%,1,2,2,0,0,0,0,0,3
亨利-阿克因,2,16,14.30%,1,7,0.00%,0,0,50.00%,1,2,8,0,0,0,0,3,3
兰多夫-莫里斯,6,18,33.30%,1,3,0.00%,0,0,100.00%,1,1,4,0,1,0,1,5,3
凯尔-维尔彻,1,5,100.00%,1,1,100.00%,1,1,0.00%,0,0,0,0,0,0,0,0,3
凯莱布-斯瓦尼根,1,8,0.00%,0,2,0.00%,0,1,75.00%,3,4,2,1,0,0,1,1,3
卡尔-亨利,1,2,100.00%,1,1,100.00%,1,1,0.00%,0,0,0,0,0,0,0,0,3
史考特-马查多,5,8,50.00%,1,2,0.00%,0,0,50.00%,1,2,1,1,0,0,1,1,3
吉米-科林斯,2,8,0.00%,0,1,0.00%,0,0,100.00%,3,3,1,0,0,0,0,1,3
唐内尔-泰勒,3,20,14.30%,1,7,0.00%,0,1,100.00%,1,1,3,5,1,0,2,2,3
唐尼-马绍尔,8,15,20.00%,1,5,0.00%,0,4,100.00%,1,1,0,0,0,0,0,1,3
多耶勒-帕拉克,7,0,0.00%,0,9,0.00%,0,0,100.00%,3,3,0,1,0,0,0,3,3
奥兰多-格拉汉姆,2,8,50.00%,1,2,0.00%,0,0,50.00%,1,2,1,0,0,0,1,0,3
安东尼奥-布克斯,3,16,100.00%,1,1,0.00%,0,0,50.00%,1,2,1,3,1,0,0,2,3
小帕特里克-尤因,2,2,100.00%,1,1,100.00%,1,1,0.00%,0,0,0,0,0,0,0,0,3
沙弗里克-兰多夫,3,7,0.00%,0,1,0.00%,0,0,75.00%,3,4,3,0,0,0,0,2,3
特洛伊-墨菲,5,17,100.00%,1,1,100.00%,1,1,0.00%,0,0,4,0,0,0,2,0,3
特雷-约翰逊,3,12,20.00%,1,5,0.00%,0,1,50.00%,1,2,4,1,0,0,0,2,3
科斯塔斯-帕帕尼古拉乌,8,23,25.00%,1,4,0.00%,0,3,50.00%,1,2,2,0,0,0,5,4,3
约翰-斯特罗德,1,1,100.00%,1,1,100.00%,1,1,0.00%,0,0,0,0,0,0,0,0,3
罗恩-沃茨,1,5,16.70%,1,6,0.00%,0,0,50.00%,1,2,2,0,0,0,0,3,3
艾德-里德,2,0,14.30%,1,7,0.00%,0,0,100.00%,1,1,0,2,0,0,0,3,3
莱奥-劳汀斯,3,5,33.30%,1,3,50.00%,1,2,0.00%,0,0,2,1,1,0,0,2,3
菲尔-塞勒斯,1,6,25.00%,1,4,0.00%,0,0,25.00%,1,4,2,0,0,0,0,2,3
萨姆-佩勒姆,5,22,16.70%,1,6,0.00%,0,0,33.30%,1,3,1,1,0,1,0,3,3
蒂姆-夸特,2,7,50.00%,1,2,50.00%,1,2,0.00%,0,0,0,1,0,0,0,1,3
贾斯汀-霍勒迪,5,12,50.00%,1,2,100.00%,1,1,0.00%,0,0,1,1,0,0,2,1,3
达夫-希尔海瑟,3,8,20.00%,1,5,0.00%,0,0,50.00%,1,2,1,0,0,0,0,0,3
迈克-哈珀,1,6,100.00%,1,1,0.00%,0,0,100.00%,1,1,1,0,0,0,0,0,3
迈克-威尔克斯,6,12,50.00%,1,2,100.00%,1,1,0.00%,0,0,0,1,0,0,1,0,3
迈克尔-布鲁克斯,4,11,33.30%,1,3,50.00%,1,2,0.00%,0,0,4,2,0,0,0,1,3
迈尔斯-普拉姆利,1,16,12.50%,1,8,0.00%,0,0,50.00%,1,2,6,1,0,1,1,1,3
金-休斯,3,35,50.00%,1,2,0.00%,0,0,50.00%,1,2,11,0,2,0,3,8,3
阿兰-奥格,3,15,33.30%,1,3,0.00%,0,0,50.00%,1,2,1,0,1,3,0,3,3
雷克斯-摩根,4,10,14.30%,1,7,0.00%,0,0,33.30%,1,3,5,0,0,0,0,6,3
马尔科姆-托马斯,3,6,50.00%,1,2,0.00%,0,0,20.00%,1,5,4,0,0,0,0,0,3
鲍伯-维森汉恩,2,6,25.00%,1,4,0.00%,0,0,100.00%,1,1,2,0,0,0,0,0,3
Don0Ackerman,4,20,33.30%,1,3,0.00%,0,0,0.00%,0,0,4,1,0,0,0,7,2
Ed0Sherod,6,23,20.00%,1,5,0.00%,0,0,0.00%,0,0,2,4,4,0,1,3,2
Manny0Leaks,2,5,50.00%,1,2,0.00%,0,0,0.00%,0,0,2,0,0,0,0,1,2
Pete0Verhoeven,3,19,0.00%,0,0,0.00%,0,0,100.00%,2,2,0,0,1,0,1,10,2
Petey0Rosenberg,9,0,8.30%,1,12,0.00%,0,0,0.00%,0,3,0,3,0,0,0,4,2
TJ-利夫,2,14,0.00%,0,3,0.00%,0,1,100.00%,2,2,3,0,0,0,0,0,2
Zeke0Zawoluk,2,18,16.70%,1,6,0.00%,0,0,0.00%,0,2,2,0,0,0,0,5,2
丹尼尔-圣蒂亚哥,2,13,50.00%,1,2,0.00%,0,0,0.00%,0,0,5,0,0,2,1,3,2
丹尼尔-尤因,6,5,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,2
亚历克-科斯勒,2,12,0.00%,0,2,0.00%,0,0,100.00%,2,2,1,0,0,0,1,1,2
伯纳德-汤普森,2,10,0.00%,0,5,0.00%,0,0,100.00%,2,2,3,2,0,1,0,1,2
克莱格-戴克玛,6,12,16.70%,1,6,0.00%,0,0,0.00%,0,0,4,1,0,0,1,2,2
克里夫-庞德塞特,3,12,0.00%,0,1,0.00%,0,0,100.00%,2,2,3,1,0,0,0,0,2
克里斯-威尔普,3,22,33.30%,1,3,0.00%,0,0,0.00%,0,2,7,0,0,0,1,7,2
克里斯-恩格拉,1,6,100.00%,1,1,0.00%,0,0,0.00%,0,0,2,0,0,0,0,2,2
兰德尼-麦格鲁德,4,16,25.00%,1,4,0.00%,0,2,0.00%,0,0,4,0,0,0,0,3,2
兰斯-布兰克斯,1,10,50.00%,1,2,0.00%,0,0,0.00%,0,0,1,3,3,0,1,2,2
凯尔-维弗尔,1,12,25.00%,1,4,0.00%,0,1,0.00%,0,0,2,2,0,0,0,2,2
加菲尔德-史密斯,4,6,20.00%,1,5,0.00%,0,0,0.00%,0,3,1,0,0,0,0,1,2
华莱士-布莱恩特,2,36,0.00%,0,1,0.00%,0,0,100.00%,2,2,7,1,1,1,2,5,2
卡尔-托马斯,1,11,0.00%,0,1,0.00%,0,0,66.70%,2,3,1,0,0,0,0,2,2
史蒂夫-唐宁,1,4,50.00%,1,2,0.00%,0,0,0.00%,0,0,2,0,0,0,0,1,2
史蒂夫-海耶斯,1,1,100.00%,1,1,0.00%,0,0,0.00%,0,0,1,0,0,0,0,0,2
吉姆-伊肯斯,3,18,20.00%,1,5,0.00%,0,0,0.00%,0,0,1,1,1,0,1,2,2
吉姆-斯帕纳克,5,8,0.00%,0,2,0.00%,0,0,100.00%,2,2,1,1,0,0,0,1,2
周琦,3,6,100.00%,1,1,0.00%,0,0,0.00%,0,0,1,0,0,0,0,0,2
哈希姆-塔比特,6,34,50.00%,1,2,0.00%,0,0,0.00%,0,0,6,0,1,0,2,11,2
哈桑-亚当斯,6,9,50.00%,1,2,0.00%,0,0,0.00%,0,0,1,0,0,0,0,3,2
哈里-多诺万,3,0,0.00%,0,4,0.00%,0,0,100.00%,2,2,0,0,0,0,0,4,2
埃里克-安德森,2,6,50.00%,1,2,0.00%,0,0,0.00%,0,0,1,0,0,0,1,2,2
基斯-埃德蒙森,1,2,100.00%,1,1,0.00%,0,0,0.00%,0,0,1,1,0,0,0,0,2
塔里克-布莱克,7,19,25.00%,1,4,0.00%,0,0,0.00%,0,0,6,2,0,1,1,5,2
大卫-斯托克顿,2,5,33.30%,1,3,0.00%,0,1,0.00%,0,0,1,0,0,0,0,1,2
奥休斯-杰弗斯,6,10,16.70%,1,6,0.00%,0,0,0.00%,0,1,1,0,0,0,1,0,2
奥雷克谢-佩切罗夫,3,8,0.00%,0,1,0.00%,0,0,100.00%,2,2,1,0,1,1,0,0,2
威利-伯顿,2,11,25.00%,1,4,0.00%,0,2,0.00%,0,0,0,0,0,0,1,3,2
安芬尼-西蒙斯,3,5,0.00%,0,2,0.00%,0,0,66.70%,2,3,0,0,0,0,0,1,2
布兰登-亨特,3,10,100.00%,1,1,0.00%,0,0,0.00%,0,0,3,1,0,1,1,2,2
布奇-李,3,6,0.00%,0,0,0.00%,0,0,100.00%,2,2,1,0,0,0,3,2,2
布拉洛-桑德夫,1,2,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,2
布莱恩-埃文斯,5,11,100.00%,1,1,0.00%,0,0,0.00%,0,0,1,2,1,0,0,0,2
康尼尔-诺曼,1,1,100.00%,1,1,0.00%,0,0,0.00%,0,0,1,0,0,0,0,0,2
德尼斯-汉密尔顿,2,11,33.30%,1,3,0.00%,0,0,0.00%,0,0,2,1,0,0,0,0,2
德尼斯-纳特,1,10,20.00%,1,5,0.00%,0,2,0.00%,0,0,2,1,0,0,1,0,2
德尼斯-贝尔,3,27,12.50%,1,8,0.00%,0,0,0.00%,0,5,4,0,0,0,0,6,2
德翁特-伯顿,3,5,20.00%,1,5,0.00%,0,2,0.00%,0,0,2,0,0,0,0,0,2
德胡安-威特,1,3,50.00%,1,2,0.00%,0,0,0.00%,0,0,1,0,1,0,0,0,2
德里克-布朗,2,1,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,2
托尼-布拉德利,1,2,50.00%,1,2,0.00%,0,0,0.00%,0,0,1,0,0,0,0,0,2
斯基特-亨利,3,16,16.70%,1,6,0.00%,0,2,0.00%,0,0,3,3,0,0,1,1,2
斯科特-罗斯,6,10,33.30%,1,3,0.00%,0,0,0.00%,0,0,0,0,2,0,0,0,2
易建联,1,4,33.30%,1,3,0.00%,0,1,0.00%,0,1,2,0,1,0,0,0,2
杰克-丁金斯,1,1,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,2
杰克-凯利,1,2,33.30%,1,3,0.00%,0,0,0.00%,0,0,0,1,0,0,0,0,2
杰克-芬德利,2,6,25.00%,1,4,0.00%,0,0,0.00%,0,0,2,1,0,0,0,3,2
杰夫-桑德斯,3,3,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,2
杰拉德-布朗,1,1,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,2
杰拉德-霍尼卡特,6,12,20.00%,1,5,0.00%,0,3,0.00%,0,0,1,0,0,0,1,3,2
杰纳-斯塔姆普,3,0,33.30%,1,3,0.00%,0,0,0.00%,0,0,0,0,0,0,0,2,2
杰罗姆-乔丹,2,8,25.00%,1,4,0.00%,0,0,0.00%,0,0,4,0,0,0,1,0,2
杰罗米-安德森,4,5,33.30%,1,3,0.00%,0,0,0.00%,0,0,1,1,0,0,0,1,2
杰里米-埃文斯,2,6,0.00%,0,1,0.00%,0,0,100.00%,2,2,3,1,1,0,0,1,2
杰里米-理查德森,4,8,20.00%,1,5,0.00%,0,0,0.00%,0,0,0,0,0,0,1,1,2
查尔斯-史密斯,3,9,50.00%,1,2,0.00%,0,0,0.00%,0,0,1,3,1,0,0,0,2
柯克-哈斯顿,2,4,100.00%,1,1,0.00%,0,0,0.00%,0,0,1,0,1,0,0,1,2
柯克-施耐德,3,9,33.30%,1,3,0.00%,0,2,0.00%,0,0,1,0,0,0,1,0,2
柯蒂斯-积晨,8,23,50.00%,1,2,0.00%,0,0,0.00%,0,4,6,0,0,2,0,7,2
欧文-托马斯,3,5,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,2
比尔-莱根,2,7,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,1,2
汤姆-克洛普,2,4,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,3,2
汤姆-里克尔,1,8,50.00%,1,2,0.00%,0,0,0.00%,0,0,2,1,0,0,0,1,2
沃伦-帕金斯,2,0,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,2,2
沃尔特-帕尔默,2,6,25.00%,1,4,0.00%,0,0,0.00%,0,0,1,0,0,0,1,3,2
泰德-卢肯比尔,4,17,0.00%,0,5,0.00%,0,0,40.00%,2,5,3,1,0,0,0,3,2
泽维尔-塞拉斯,2,3,100.00%,1,1,0.00%,0,0,0.00%,0,0,2,0,0,0,0,0,2
简-吉丁格,4,15,33.30%,1,3,0.00%,0,0,0.00%,0,2,1,0,0,1,2,1,2
米切尔-巴特勒,2,4,50.00%,1,2,0.00%,0,0,0.00%,0,0,1,0,0,0,0,0,2
罗伦佐-威廉姆斯,3,8,100.00%,1,1,0.00%,0,0,0.00%,0,0,1,0,0,0,0,1,2
莱恩-汉弗雷,3,5,100.00%,1,1,0.00%,0,0,0.00%,0,0,2,0,0,0,0,0,2
菲尼斯-登博,2,4,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,1,1,2
蒂图-霍福德,2,2,100.00%,1,1,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,2
詹姆斯-奥古斯丁,1,2,100.00%,1,1,0.00%,0,0,0.00%,0,0,1,0,0,0,0,0,2
达内尔-杰克逊,5,25,20.00%,1,5,0.00%,0,0,0.00%,0,2,5,1,0,0,1,5,2
达夫-多伊奇,1,7,20.00%,1,5,0.00%,0,0,0.00%,0,0,3,1,0,0,0,0,2
达夫-泽勒,2,5,50.00%,1,2,0.00%,0,0,0.00%,0,0,1,1,0,0,0,0,2
迈克-布里坦,1,2,50.00%,1,2,0.00%,0,0,0.00%,0,0,1,0,0,1,0,0,2
迈克尔-威利,3,5,0.00%,0,1,0.00%,0,0,100.00%,2,2,0,0,0,0,0,2,2
迈克尔-杨,3,3,25.00%,1,4,0.00%,0,0,0.00%,0,0,1,0,0,0,0,0,2
迈克尔-霍金斯,2,10,0.00%,0,1,0.00%,0,1,100.00%,2,2,0,0,0,0,0,1,2
里奇-尤纳克尔,2,4,50.00%,1,2,0.00%,0,0,0.00%,0,0,1,1,1,0,0,1,2
里奇-约翰逊,2,4,100.00%,1,1,0.00%,0,0,0.00%,0,0,2,0,0,0,0,0,2
里奇-里纳尔迪,3,6,50.00%,1,2,0.00%,0,0,0.00%,0,0,0,1,0,0,0,3,2
阿德里安-考德威尔,2,4,100.00%,1,1,0.00%,0,0,0.00%,0,0,1,0,0,0,0,0,2
阿西-厄尔,1,10,33.30%,1,3,0.00%,0,0,0.00%,0,2,2,0,0,1,0,4,2
